loai_thau,ma_tinh,ten_tinh,ten_don_vi,ma_cskcb,ten_cskcb,ma,ma_gy,ten,hoatchat,duongdung,maduongdung,madd_gy,dangbaoche,hamluong,donggoi,sodk,nhasx,nuocsx,donvitinh,soluong,gia,thanhtien,tennhathau,quyetdinh,tungay,denngay,goithau,tieuchuan,nhomthau,loai,sttpheduyet,hieuluc,congbo,ht_thau,tungay_hd,denngay_hd,created_date
3.thau_rieng_le,52,Tỉnh Bình Định,Ttyt Huyện Tây Sơn,52185,Ttyt Huyện Tây Sơn,40.13,40.13,Lignospan Standard,Lidocain + epinephrin(adrenalin),Tiêm,2.10,2.10,Thuốc tiêm,"(36 mg+ 18,13 mcg)- 1,8ml","Hộp 5 vỉ x 10 ống x 1,8ml",VN-16049-12,Septodont,Pháp,Ống,2000,14135.0,28270000.0,Công ty Cổ Phần Dược Phẩm Thiết Bị Y Tế Phúc An,377/QĐ-TTYT,2024-09-01 00:00:00,,G1,,N1,Tân dược,,1,2024-09-01 00:00:00,3,2024-09-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,52,Tỉnh Bình Định,Ttyt Huyện Tây Sơn,52185,Ttyt Huyện Tây Sơn,40.2,40.2,Marcaine Spinal Heavy,Bupivacain hydroclorid,Tiêm truyền,2.15,2.15,Dung dịch,"0,5%/4ml",Hộp 5 ống x 4ml,VN-19785-16,Cenexi,Pháp,Ống,500,41600.0,20800000.0,CÔNG TY CỔ PHẦN DƯỢC LIỆU TRUNG ƯƠNG 2,377/QĐ-TTYT,2024-09-01 00:00:00,,G1,,N1,Tân dược,,1,2024-09-01 00:00:00,3,2024-09-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Thanh Nhàn,01006,Bv Thanh Nhàn,05C.182,05C.182,Haisamin,Hải sâm.,Uống,1.01,1.01,viên nang mềm,200mg,Hộp 6; 12 vỉ x 5 viên,VD-22264-15,Nhà máy HDPHARMA EU – Công ty Cổ phần Dược Vật tư y tế Hải Dương,Việt Nam,Viên,100000,3780.0,378000000.0,CÔNG TY CỔ PHẦN DƯỢC PHẨM VÀ THƯƠNG MẠI ĐÔNG DƯƠNG,1894/QĐ-BVTN,2024-10-01 00:00:00,,G3,,N3,Chế phẩm,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Phú Vinh,46172,Tyt Phú Vinh,40.1021,40.1021,"Natri clorid 0,9%",Natri clorid,Tiêm truyền,2.15,2.15,Thuốc tiêm truyền,"0,9% x 500ml",Thùng 20 chai nhựa 500ml,893110039623,Công ty cổ phần Fresenius Kabi/Việt Nam,Việt Nam,Chai nhựa,0,7350.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Thanh Nhàn,01006,Bv Thanh Nhàn,05C.53,05C.53,Piascledine,"Cao toàn phần không xà phòng hóa quả bơ, Cao toàn phần không xà phòng hóa dầu đậu nành",Uống,1.01,1.01,Viên nang cứng,300mg (100mg + 200mg),Hộp 1 vỉ x 15 viên,VN-16540-13,Laboratoires Expanscience,Pháp,Viên,20000,12000.0,240000000.0,CÔNG TY TNHH DƯỢC PHẨM VÀ TRANG THIẾT BỊ Y TẾ HOÀNG ĐỨC,1894/QĐ-BVTN,2024-10-01 00:00:00,,G3,,N4,Chế phẩm,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Hồng Kim,46177,Tyt Hồng Kim,40.1015,40.1015,Glucose 5%,Glucose,Tiêm truyền,2.15,2.15,Thuốc tiêm truyền,"5%, 500ml",Thùng 20 chai nhựa 500ml,VD-28252-17,Công ty cổ phần Fresenius Kabi/Việt Nam,Việt Nam,Chai nhựa,0,8400.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.775,40.775,Methylprednisolon 16,Methyl prednisolon,Uống,1.01,1.01,Viên nén,16mg,Chai 1000 viên,VD-20763-14,Công ty Cổ phần Dược phẩm Khánh Hòa,Việt Nam,Viên,0,628.0,0.0,Công ty cổ phần dược phẩm Khánh Hòa,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.1028,40.1028,Nước cất pha tiêm 5ml,Nước cất pha tiêm,Tiêm,2.10,2.10,Dung môi pha tiêm,5ml,Hộp 50 ống x 5ml,VD-31299-18,Công ty cổ phần Dược - Trang thiết bị y tế Bình Định (Bidiphar),Việt Nam,Ống,0,567.0,0.0,Công ty cổ phần Dược - Trang thiết bị y tế Bình Định (Bidiphar).,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.478,40.478,Vinceryl 5 mg/5 ml,Nitroglycerin,Tiêm,2.10,2.10,Dung dịch tiêm,5mg/ml,Hộp 2 vỉ x 5 ống x 5 ml,893110030324,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,ống,0,49980.0,0.0,Công ty Cổ phần Dược phẩm Vĩnh Phúc.,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.829,40.829,Sismyodine,Eperison,Uống,1.01,1.01,Viên nén bao đường,50mg,Hộp 10 vỉ x 10 viên,893110304423,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,Viên,0,290.0,0.0,Công ty Cổ phần Dược phẩm Vĩnh Phúc.,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
